#timestamp_kf,x,y,z,qw,qx,qy,qz,vx,vy,vz
1620391279392463008,14.721646726725763799,2.211296124420060405,-8.2853804743286225687,0.95344101548449622374,-0.029843594786722969087,0.240860887585168576,0.17901291203090191617,9.814522253546595465,1.9924560417321763861,-5.382844551674448752
1620391279592468008,16.553715672257130365,2.583840981024578376,-9.2951255233259821864,0.94928824941653677794,-0.030360581214782855763,0.24756837189475625061,0.19141566253932135178,10.531501288710805042,2.1791766148523001867,-5.7720149652035512844
1620391279792482008,18.493994354727053775,2.9888857414271705615,-10.361506876572109448,0.94498002465240471537,-0.029916089269332382661,0.25427071055948596845,0.20362756778575952232,11.140204809431111244,2.3933639040140519683,-6.1115675867980536751
1620391279992483008,20.577146080875611034,3.4389675663164283037,-11.502263949251238628,0.9402930233926326542,-0.030652990431540339672,0.26133655532398264443,0.21589958125976307923,11.921512714029830704,2.623972227892902076,-6.5379997702300460816
1620391280192489008,22.782613830931921939,3.9324835922740200012,-12.713833483351276499,0.93690669205065835179,-0.027786358791831080456,0.26266734344311276628,0.22899702038306637975,12.639595346155900302,2.8419189198145673458,-6.8918329757544158909
1620391280392497008,3.5027704542704745094,-1.9574932074120219294,-1.6122295782659390451,0.96222638218173706104,-0.022584916712631783464,0.15094750815733343208,0.22544436287390573481,3.8955833701057418494,0.08700048713377814269,-1.2252665321151265942
1620391280592512008,1.6993028049590930273,-3.2216957088921311936,-2.0381798925602230277,0.96835937968072072213,-0.017138671986821844145,0.10294467718347073693,0.22669091544764000123,2.5012810474866755683,-0.54482786921562176286,-1.0494164090671453948
1620391280792512008,1.7363986292657040966,-3.7273636512062942039,-1.9875958091531544802,0.97104585977047686018,-0.022792984131622024552,0.098581987594463543756,0.21640704660180565266,2.4352491707877632621,-0.6033963150823684618,-1.0328902418264469532
1620391280992520008,2.8359005934472358845,-4.2131210331821051795,-1.7760850797315137495,0.97323494391412013194,-0.029477095007246642555,0.087539177905212678388,0.21043226260745431788,2.5793998753186397899,-0.63813585294992258845,-0.93074518777389847468
1620391281192527008,3.0722688033170348909,-3.9022926650824061312,-1.2240374739338824028,0.9713284914402201542,-0.023247643196839001822,0.079764858074487590689,0.22275115312522075772,2.4556173233570479653,-0.56312923929623392993,-0.66437219414150805452
1620391281392539008,3.3621145486503261068,-3.9613555735561511995,-0.86408909127067012879,0.96837225769644563744,-0.031079576773503224396,0.07343225979648737578,0.23642532362809545732,2.3073982517835402994,-0.3544162784773486341,-0.54439564989470889955
1620391281592665008,3.7565715086267101874,-4.0111007358709018789,-0.72484159747661669471,0.96725737614765783245,-0.035126056678911651843,0.059966916420253084385,0.24409690158866151344,2.0695390332938350397,-0.26895320034169239998,-0.47364968888146447012
