#timestamp_lkf,x,y,z,qw,qx,qy,qz
1620391246190519008,0.0004874673815561050708,0.00015790398234309674179,0.0002959140996517469098,0.99999999958938257105,2.5175979351854877505e-05,9.4907002302839083149e-06,9.8552230839444782454e-06
1620391246457270008,7.6693349420297227104e-05,0.00018408051351198709581,0.00022826923840486704805,0.99999999628163005472,7.1863367036601645695e-05,-4.7548533041556761969e-05,-3.3656138946472685017e-06
1620391246657282008,0.00012566435895569285546,-2.9236644593901017775e-05,1.1753582542193337802e-05,0.99999999890000523806,-1.2989539932106363102e-05,9.3925770435499102227e-06,4.4077601564252965314e-05
1620391246857287008,0.00029575881252119466409,-0.00011877598261965671711,-0.00074063670279501557167,0.99999999743925238604,2.9340173570938116464e-05,3.3397522504736904577e-05,-5.608073495253625368e-05
1620391247057302008,0.00010532667443417128542,0.00015067005264547865344,0.0013065468173678903945,0.99999999768919045628,4.7419871005612240864e-05,-4.8605186928862389767e-05,3.2100882095858184505e-06
1620391247257305008,0.00010532667443417128542,0.00015067005264547865344,0.0013065468173678903945,0.99999999768919045628,4.7419871005612240864e-05,-4.8605186928862389767e-05,3.2100882095858184505e-06
1620391247457310008,-0.00020537509360655384154,4.1489018779423236089e-05,-0.0010893801081223828276,0.999999998026928405,-2.0130119933558608031e-06,6.0763504124010922003e-06,6.2489701966126926652e-05
1620391247657315008,-0.00030817878328836666602,7.0411183606398287829e-05,-0.0017815935132868337618,0.9999999837577635553,1.2593720323190038134e-05,-5.0146181224776508888e-05,0.00017265869612216911701
1620391247857334008,-0.00030817878328836666602,7.0411183606398287829e-05,-0.0017815935132868337618,0.9999999837577635553,1.2593720323190038134e-05,-5.0146181224776508888e-05,0.00017265869612216911701
1620391248123959008,-0.00030817878328836666602,7.0411183606398287829e-05,-0.0017815935132868337618,0.9999999837577635553,1.2593720323190038134e-05,-5.0146181224776508888e-05,0.00017265869612216911701
1620391248323963008,-0.00030817878328836666602,7.0411183606398287829e-05,-0.0017815935132868337618,0.9999999837577635553,1.2593720323190038134e-05,-5.0146181224776508888e-05,0.00017265869612216911701
1620391248523978008,-0.00030817878328836666602,7.0411183606398287829e-05,-0.0017815935132868337618,0.9999999837577635553,1.2593720323190038134e-05,-5.0146181224776508888e-05,0.00017265869612216911701
1620391248723981008,-0.0014476235567070915456,0.00021433556545529371335,0.0022502776998912219809,0.99999999916820181411,7.1532233971326373458e-06,3.0669521452658620971e-05,2.5915287237100957912e-05
1620391248923983008,0.00040668160271746241034,-0.00021052175097667608062,0.00034583246910239220364,0.99999999472254563759,-9.1619639282986171935e-05,-4.5894435349129289361e-05,7.3651308105749851971e-06
1620391249123998008,0.00040668160271746241034,-0.00021052175097667608062,0.00034583246910239220364,0.99999999472254563759,-9.1619639282986171935e-05,-4.5894435349129289361e-05,7.3651308105749851971e-06
1620391249324007008,-0.00037458439133757689011,-0.00029103633323287819105,-0.00050465339071282481337,0.99999999802997885379,-5.962062561523016847e-05,-4.7424780654634899319e-06,1.9045373754918373544e-05
1620391249524011008,-0.00037458439133757689011,-0.00029103633323287819105,-0.00050465339071282481337,0.99999999802997885379,-5.962062561523016847e-05,-4.7424780654634899319e-06,1.9045373754918373544e-05
1620391249724018008,-0.00037458439133757689011,-0.00029103633323287819105,-0.00050465339071282481337,0.99999999802997885379,-5.962062561523016847e-05,-4.7424780654634899319e-06,1.9045373754918373544e-05
